*.MrWhite,N/A,N/A
*.mztu,N/A,N/A
*.r0n,N/A,N/A
*.nlb,N/A,N/A
*.royal_w,N/A,N/A
*.canadian,N/A,N/A
*.buddyransome,N/A,N/A
*.v1cesO0ciety,N/A,N/A
AllYFilesAE*,N/A,N/A
*.Amelia,N/A,N/A
*.Vohuk,N/A,N/A
*.seiv,N/A,N/A
*.RedAlert,N/A,N/A
*.cpyt,N/A,N/A
*.tprc,N/A,N/A
*.cprt,N/A,N/A
*.BlackHunt,N/A,N/A
*.rippc,N/A,N/A
*.Zakaz,N/A,N/A
*.ElbeeCrypt,N/A,N/A
*.Blackmagic,N/A,N/A
*.mzop,N/A,N/A
*.marnet2,N/A,N/A
*.rdapdylvb,N/A,N/A
*.mzqw,N/A,N/A
*.BoY,N/A,N/A
*.STEEL,N/A,N/A
*.ENCODED,N/A,N/A
*.GOGO,N/A,N/A
*.725,N/A,N/A
covid29-is-here.txt,Covid29 Ransomware,https://www.pcrisk.com/removal-guides/25748-covid29-ransomware
*.FinD0m,N/A,N/A
*.secured,N/A,N/A
*.tzw,N/A,N/A
*.NYX,N/A,N/A
*.xollam,N/A,N/A
*.Zendaya,N/A,N/A
*.G-Stars,N/A,N/A
*.Encrypto,N/A,N/A
*.brg,N/A,N/A
*.architek,N/A,N/A
*.milovski-G-*,N/A,N/A
*.cookies-F*,N/A,N/A
*.devicZz,N/A,N/A
*.consultransom,N/A,N/A
*.carone,N/A,N/A
*.FARGO3,N/A,N/A
*.destr,N/A,N/A
*.iswr,N/A,N/A
*.znto,N/A,N/A
*.znws,N/A,N/A
*.znsm,N/A,N/A
*.bpws,N/A,N/A
*.pouu,N/A,N/A
*.poqw,N/A,N/A
*.zouu,N/A,N/A
*.KoRyA,N/A,N/A
*.RYKCRYPT,N/A,N/A
*.zoqw,N/A,N/A
*.mao,N/A,N/A
*.[*].Black,N/A,N/A
*.PUTIN,N/A,N/A
*.znto,N/A,N/A
*.CY3,N/A,N/A
*.upsil0n,N/A,N/A
*.bettercallsaul,N/A,N/A
*.d0n,N/A,N/A
*.bpsm,N/A,N/A
*.bpws,N/A,N/A
*.bpto,N/A,N/A
*.isal,N/A,N/A
*.isza,N/A,N/A
*.hardbit2,N/A,N/A
*.chsch,N/A,N/A
*.alice,N/A,N/A
*.octo,N/A,N/A
*._locked,N/A,N/A
*.mario,N/A,N/A
*.just,N/A,N/A
*.ety,N/A,N/A
*.NULL,N/A,N/A
*.uyro,N/A,N/A
*.uyit,N/A,N/A
*.cipher,N/A,N/A
*.dataf,N/A,N/A
*.puspa2*,N/A,N/A
*.mppn,N/A,N/A
*.mbtf,N/A,N/A
*.OBZ,N/A,N/A
*.allock*,N/A,N/A
*.Juli,N/A,N/A
*.manw,N/A,N/A
*.maos,N/A,N/A
*.matu,N/A,N/A
*.hebem,N/A,N/A
*.lucknite,N/A,N/A
*.xllm,N/A,N/A
*.HENTAI,N/A,N/A
*.btnw,N/A,N/A
*.btos,N/A,N/A
*.bttu,N/A,N/A
*.ViceSociety,N/A,N/A
*.LOCK3D*,N/A,N/A
*.Mafer,N/A,N/A
*.LATCHNETWORK3,N/A,N/A
*.tcvp,N/A,N/A
*.onelock,N/A,N/A
*.inlock,N/A,N/A
*.SEX3,N/A,N/A
*.yguekcbe,N/A,N/A
*.ZeRy,N/A,N/A
*.fate,N/A,N/A
*.fatp,N/A,N/A
*.[Chily@Dr.Com],N/A,N/A
*.crow,N/A,N/A
*.terror_ramp3,N/A,N/A
*.sbkyedekal,N/A,N/A
*.CrySpheRe,N/A,N/A
*.bDAT,N/A,N/A
*.zate,N/A,N/A
*.zatp,N/A,N/A
*.bowd,N/A,N/A
*.bozq,N/A,N/A
*.azov,N/A,N/A
*.pozq,N/A,N/A
*.powd,N/A,N/A
*.vn2.1.[victims_ID],N/A,N/A
*.INT,N/A,N/A
*.LockFiles,N/A,N/A
